,method,index,value
0,MUter,1,0.0001462029
1,Newton_delta,1,0.009798126
2,Influence_delta,1,0.00965262
3,Fisher_delta,1,0.01191343
4,Newton,1,0.0076155625
5,Influence,1,0.0073920167
6,Fisher,1,0.014438604
7,MUter,200,0.034150016
8,Newton_delta,200,0.098471455
9,Influence_delta,200,0.09466377
10,Fisher_delta,200,0.118710026
11,Newton,200,0.08168982
12,Influence,200,0.07952957
13,Fisher,200,0.14997862
14,MUter,500,0.0146171395
15,Newton_delta,500,0.150883
16,Influence_delta,500,0.14710145
17,Fisher_delta,500,0.19310671
18,Newton,500,0.12586448
19,Influence,500,0.12363204
20,Fisher,500,0.22763544
21,MUter,1000,0.017011609
22,Newton_delta,1000,0.2320779
23,Influence_delta,1000,0.2247627
24,Fisher_delta,1000,0.28883788
25,Newton,1000,0.1943833
26,Influence,1000,0.18830362
27,Fisher,1000,0.35322255
28,MUter,2000,0.033551123
29,Newton_delta,2000,0.3296307
30,Influence_delta,2000,0.32544377
31,Fisher_delta,2000,0.42394653
32,Newton,2000,0.28880137
33,Influence,2000,0.2766832
34,Fisher,2000,0.49958226
35,MUter,4000,0.060139425
36,Newton_delta,4000,0.50446165
37,Influence_delta,4000,0.47796738
38,Fisher_delta,4000,0.6522382
39,Newton,4000,0.44583452
40,Influence,4000,0.4052683
41,Fisher,4000,0.7873103
42,MUter,1,0.0004127421
43,Newton_delta,1,0.0008021817
44,Influence_delta,1,0.0007917769
45,Fisher_delta,1,0.0011376293
46,Newton,1,0.00035167488
47,Influence,1,0.00035054053
48,Fisher,1,0.0007622746
49,MUter,200,0.0032819815
50,Newton_delta,200,0.10094207
51,Influence_delta,200,0.09733909
52,Fisher_delta,200,0.12871785
53,Newton,200,0.08162555
54,Influence,200,0.07828834
55,Fisher,200,0.14856419
56,MUter,500,0.0077908947
57,Newton_delta,500,0.1556199
58,Influence_delta,500,0.15226577
59,Fisher_delta,500,0.1844719
60,Newton,500,0.12474656
61,Influence,500,0.12326558
62,Fisher,500,0.22584684
63,MUter,1000,0.052431896
64,Newton_delta,1000,0.21930373
65,Influence_delta,1000,0.21208255
66,Fisher_delta,1000,0.26808903
67,Newton,1000,0.18851668
68,Influence,1000,0.18333472
69,Fisher,1000,0.31512013
70,MUter,2000,0.015724935
71,Newton_delta,2000,0.32930082
72,Influence_delta,2000,0.3182112
73,Fisher_delta,2000,0.41491318
74,Newton,2000,0.27741927
75,Influence,2000,0.26955
76,Fisher,2000,0.4799624
77,MUter,4000,0.0260968
78,Newton_delta,4000,0.545258
79,Influence_delta,4000,0.52750665
80,Fisher_delta,4000,0.6602088
81,Newton,4000,0.42412993
82,Influence,4000,0.39527443
83,Fisher,4000,0.7730237
84,MUter,1,6.231123e-05
85,Newton_delta,1,0.0032844546
86,Influence_delta,1,0.0031981883
87,Fisher_delta,1,0.0038728532
88,Newton,1,0.0016813563
89,Influence,1,0.001655581
90,Fisher,1,0.0032849368
91,MUter,200,0.0026160101
92,Newton_delta,200,0.09512615
93,Influence_delta,200,0.09281722
94,Fisher_delta,200,0.118103184
95,Newton,200,0.0742753
96,Influence,200,0.072660685
97,Fisher,200,0.13364296
98,MUter,500,0.0037715433
99,Newton_delta,500,0.15574265
100,Influence_delta,500,0.1525596
101,Fisher_delta,500,0.18896672
102,Newton,500,0.12684146
103,Influence,500,0.12282839
104,Fisher,500,0.21636294
105,MUter,1000,0.02059442
106,Newton_delta,1000,0.22824945
107,Influence_delta,1000,0.22425245
108,Fisher_delta,1000,0.28031257
109,Newton,1000,0.1943721
110,Influence,1000,0.18984024
111,Fisher,1000,0.345705
112,MUter,2000,0.0134040825
113,Newton_delta,2000,0.3358069
114,Influence_delta,2000,0.33044395
115,Fisher_delta,2000,0.4116261
116,Newton,2000,0.29244974
117,Influence,2000,0.28115425
118,Fisher,2000,0.49032465
119,MUter,4000,0.017374272
120,Newton_delta,4000,0.5084599
121,Influence_delta,4000,0.48154053
122,Fisher_delta,4000,0.6473713
123,Newton,4000,0.4196381
124,Influence,4000,0.3918938
125,Fisher,4000,0.7344679
