,method,index,value
0,MUter,2500,0.1669753
1,Newton_delta,2500,0.7860132
2,Influence_delta,2500,0.72139657
3,Fisher_delta,2500,0.91431224
4,Newton,2500,0.5931279
5,Influence,2500,0.53869754
6,Fisher,2500,1.2569575
7,MUter,5000,0.16424097
8,Newton_delta,5000,1.3256389
9,Influence_delta,5000,1.2341444
10,Fisher_delta,5000,1.4964762
11,Newton,5000,0.9603805
12,Influence,5000,0.87503093
13,Fisher,5000,2.0199914
14,MUter,7500,0.54900146
15,Newton_delta,7500,1.884552
16,Influence_delta,7500,1.7476434
17,Fisher_delta,7500,2.1023927
18,Newton,7500,1.2992203
19,Influence,7500,1.1945585
20,Fisher,7500,2.8596125
21,MUter,10000,0.15966146
22,Newton_delta,10000,2.4579163
23,Influence_delta,10000,2.284777
24,Fisher_delta,10000,2.65821
25,Newton,10000,1.6686827
26,Influence,10000,1.5201803
27,Fisher,10000,3.8364086
28,MUter,2500,0.010048365
29,Newton_delta,2500,0.4295587
30,Influence_delta,2500,0.40316063
31,Fisher_delta,2500,0.4614092
32,Newton,2500,0.2895047
33,Influence,2500,0.2658948
34,Fisher,2500,0.5272276
35,MUter,5000,0.028749084
36,Newton_delta,5000,0.69469166
37,Influence_delta,5000,0.66407967
38,Fisher_delta,5000,0.7514067
39,Newton,5000,0.47540662
40,Influence,5000,0.4351037
41,Fisher,5000,0.7996048
42,MUter,7500,0.12311271
43,Newton_delta,7500,0.9965193
44,Influence_delta,7500,0.9443162
45,Fisher_delta,7500,1.0425496
46,Newton,7500,0.64902365
47,Influence,7500,0.60274535
48,Fisher,7500,1.1211119
49,MUter,10000,0.18880899
50,Newton_delta,10000,1.3536603
51,Influence_delta,10000,1.2629043
52,Fisher_delta,10000,1.3699574
53,Newton,10000,0.83064544
54,Influence,10000,0.75733817
55,Fisher,10000,1.4774673
56,MUter,2500,0.0101688905
57,Newton_delta,2500,0.42596853
58,Influence_delta,2500,0.38925368
59,Fisher_delta,2500,0.45055243
60,Newton,2500,0.2887861
61,Influence,2500,0.26769182
62,Fisher,2500,0.5037536
63,MUter,5000,0.02797711
64,Newton_delta,5000,0.72042334
65,Influence_delta,5000,0.6696305
66,Fisher_delta,5000,0.7513746
67,Newton,5000,0.4428867
68,Influence,5000,0.40891558
69,Fisher,5000,0.77289885
70,MUter,7500,0.11486832
71,Newton_delta,7500,1.0087738
72,Influence_delta,7500,0.94628197
73,Fisher_delta,7500,1.0220515
74,Newton,7500,0.60830396
75,Influence,7500,0.56345695
76,Fisher,7500,1.0736731
77,MUter,10000,0.24983464
78,Newton_delta,10000,1.3606546
79,Influence_delta,10000,1.2711455
80,Fisher_delta,10000,1.3676203
81,Newton,10000,0.7781714
82,Influence,10000,0.72547585
83,Fisher,10000,1.4688529
