,method,index,value
0,retrain,1,0.4319
1,MUter,1,0.4324
2,Newton_delta,1,0.4323
3,Influence_delta,1,0.4319
4,Fisher_delta,1,0.4334
5,Newton,1,0.4324
6,Influence,1,0.4321
7,Fisher,1,0.4321
8,retrain,200,0.4357
9,MUter,200,0.4361
10,Newton_delta,200,0.4347
11,Influence_delta,200,0.4355
12,Fisher_delta,200,0.4336
13,Newton,200,0.4351
14,Influence,200,0.4352
15,Fisher,200,0.4345
16,retrain,500,0.4334
17,MUter,500,0.4331
18,Newton_delta,500,0.4307
19,Influence_delta,500,0.4313
20,Fisher_delta,500,0.4314
21,Newton,500,0.4318
22,Influence,500,0.4308
23,Fisher,500,0.4314
24,retrain,1000,0.4347
25,MUter,1000,0.435
26,Newton_delta,1000,0.4286
27,Influence_delta,1000,0.4301
28,Fisher_delta,1000,0.4294
29,Newton,1000,0.4307
30,Influence,1000,0.4315
31,Fisher,1000,0.4301
32,retrain,2000,0.4331
33,MUter,2000,0.4341
34,Newton_delta,2000,0.424
35,Influence_delta,2000,0.4256
36,Fisher_delta,2000,0.4236
37,Newton,2000,0.4291
38,Influence,2000,0.4296
39,Fisher,2000,0.4294
40,retrain,4000,0.4335
41,MUter,4000,0.4346
42,Newton_delta,4000,0.4105
43,Influence_delta,4000,0.4125
44,Fisher_delta,4000,0.411
45,Newton,4000,0.4211
46,Influence,4000,0.4218
47,Fisher,4000,0.4224
48,retrain,1,0.4353
49,MUter,1,0.4345
50,Newton_delta,1,0.4358
51,Influence_delta,1,0.4357
52,Fisher_delta,1,0.4359
53,Newton,1,0.4346
54,Influence,1,0.4352
55,Fisher,1,0.4362
56,retrain,200,0.4341
57,MUter,200,0.4339
58,Newton_delta,200,0.4328
59,Influence_delta,200,0.4319
60,Fisher_delta,200,0.4319
61,Newton,200,0.433
62,Influence,200,0.4325
63,Fisher,200,0.4316
64,retrain,500,0.435
65,MUter,500,0.4347
66,Newton_delta,500,0.4332
67,Influence_delta,500,0.432
68,Fisher_delta,500,0.433
69,Newton,500,0.4335
70,Influence,500,0.433
71,Fisher,500,0.433
72,retrain,1000,0.4355
73,MUter,1000,0.4346
74,Newton_delta,1000,0.4276
75,Influence_delta,1000,0.4287
76,Fisher_delta,1000,0.4281
77,Newton,1000,0.432
78,Influence,1000,0.4327
79,Fisher,1000,0.4298
80,retrain,2000,0.4352
81,MUter,2000,0.4329
82,Newton_delta,2000,0.4223
83,Influence_delta,2000,0.4226
84,Fisher_delta,2000,0.4232
85,Newton,2000,0.4278
86,Influence,2000,0.4266
87,Fisher,2000,0.4284
88,retrain,4000,0.433
89,MUter,4000,0.431
90,Newton_delta,4000,0.4113
91,Influence_delta,4000,0.4122
92,Fisher_delta,4000,0.4121
93,Newton,4000,0.4192
94,Influence,4000,0.4219
95,Fisher,4000,0.4206
96,retrain,1,0.4324
97,MUter,1,0.4344
98,Newton_delta,1,0.4338
99,Influence_delta,1,0.4342
100,Fisher_delta,1,0.4344
101,Newton,1,0.4325
102,Influence,1,0.4326
103,Fisher,1,0.4334
104,retrain,200,0.4355
105,MUter,200,0.4345
106,Newton_delta,200,0.4343
107,Influence_delta,200,0.4336
108,Fisher_delta,200,0.4348
109,Newton,200,0.4341
110,Influence,200,0.433
111,Fisher,200,0.4352
112,retrain,500,0.4363
113,MUter,500,0.436
114,Newton_delta,500,0.4345
115,Influence_delta,500,0.4344
116,Fisher_delta,500,0.4347
117,Newton,500,0.4353
118,Influence,500,0.4367
119,Fisher,500,0.4346
120,retrain,1000,0.4341
121,MUter,1000,0.4333
122,Newton_delta,1000,0.4299
123,Influence_delta,1000,0.4309
124,Fisher_delta,1000,0.4304
125,Newton,1000,0.4322
126,Influence,1000,0.4329
127,Fisher,1000,0.4322
128,retrain,2000,0.4343
129,MUter,2000,0.4345
130,Newton_delta,2000,0.4209
131,Influence_delta,2000,0.4233
132,Fisher_delta,2000,0.4247
133,Newton,2000,0.4284
134,Influence,2000,0.4284
135,Fisher,2000,0.4283
136,retrain,4000,0.4353
137,MUter,4000,0.4338
138,Newton_delta,4000,0.4078
139,Influence_delta,4000,0.4119
140,Fisher_delta,4000,0.4089
141,Newton,4000,0.4193
142,Influence,4000,0.4205
143,Fisher,4000,0.4184
