,method,index,value
0,retrain,2500,0.6823
1,MUter,2500,0.6834
2,Newton_delta,2500,0.6742
3,Influence_delta,2500,0.6745
4,Fisher_delta,2500,0.6743
5,Newton,2500,0.6706
6,Influence,2500,0.6719
7,Fisher,2500,0.6704
8,retrain,5000,0.6829
9,MUter,5000,0.683
10,Newton_delta,5000,0.6644
11,Influence_delta,5000,0.666
12,Fisher_delta,5000,0.6673
13,Newton,5000,0.6561
14,Influence,5000,0.6577
15,Fisher,5000,0.6578
16,retrain,7500,0.678
17,MUter,7500,0.6839
18,Newton_delta,7500,0.6446
19,Influence_delta,7500,0.6472
20,Fisher_delta,7500,0.6497
21,Newton,7500,0.6357
22,Influence,7500,0.6382
23,Fisher,7500,0.6326
24,retrain,10000,0.6795
25,MUter,10000,0.6799
26,Newton_delta,10000,0.6287
27,Influence_delta,10000,0.6321
28,Fisher_delta,10000,0.6296
29,Newton,10000,0.6074
30,Influence,10000,0.6126
31,Fisher,10000,0.596
32,retrain,2500,0.6831
33,MUter,2500,0.6832
34,Newton_delta,2500,0.6724
35,Influence_delta,2500,0.6734
36,Fisher_delta,2500,0.6729
37,Newton,2500,0.6709
38,Influence,2500,0.672
39,Fisher,2500,0.6711
40,retrain,5000,0.6827
41,MUter,5000,0.6829
42,Newton_delta,5000,0.6609
43,Influence_delta,5000,0.6625
44,Fisher_delta,5000,0.6604
45,Newton,5000,0.6538
46,Influence,5000,0.6545
47,Fisher,5000,0.6534
48,retrain,7500,0.6794
49,MUter,7500,0.6809
50,Newton_delta,7500,0.6414
51,Influence_delta,7500,0.6445
52,Fisher_delta,7500,0.6425
53,Newton,7500,0.6301
54,Influence,7500,0.634
55,Fisher,7500,0.6289
56,retrain,10000,0.6792
57,MUter,10000,0.6805
58,Newton_delta,10000,0.6252
59,Influence_delta,10000,0.6282
60,Fisher_delta,10000,0.6227
61,Newton,10000,0.6045
62,Influence,10000,0.6114
63,Fisher,10000,0.5887
64,retrain,2500,0.6818
65,MUter,2500,0.6832
66,Newton_delta,2500,0.6764
67,Influence_delta,2500,0.6771
68,Fisher_delta,2500,0.6774
69,Newton,2500,0.6706
70,Influence,2500,0.6709
71,Fisher,2500,0.6727
72,retrain,5000,0.6817
73,MUter,5000,0.6809
74,Newton_delta,5000,0.6612
75,Influence_delta,5000,0.6633
76,Fisher_delta,5000,0.6626
77,Newton,5000,0.6513
78,Influence,5000,0.654
79,Fisher,5000,0.6529
80,retrain,7500,0.6798
81,MUter,7500,0.6801
82,Newton_delta,7500,0.6479
83,Influence_delta,7500,0.6488
84,Fisher_delta,7500,0.6488
85,Newton,7500,0.6318
86,Influence,7500,0.6351
87,Fisher,7500,0.6295
88,retrain,10000,0.6799
89,MUter,10000,0.6755
90,Newton_delta,10000,0.6284
91,Influence_delta,10000,0.6305
92,Fisher_delta,10000,0.6292
93,Newton,10000,0.6049
94,Influence,10000,0.6094
95,Fisher,10000,0.5883
