,method,index,value
0,retrain,1,0.6814
1,MUter,1,0.6818
2,Newton_delta,1,0.6815
3,Influence_delta,1,0.6815
4,Fisher_delta,1,0.6815
5,Newton,1,0.6815
6,Influence,1,0.6815
7,Fisher,1,0.6817
8,retrain,200,0.6713
9,MUter,200,0.675
10,Newton_delta,200,0.6753
11,Influence_delta,200,0.6754
12,Fisher_delta,200,0.6754
13,Newton,200,0.6748
14,Influence,200,0.6746
15,Fisher,200,0.6746
16,retrain,500,0.6831
17,MUter,500,0.6834
18,Newton_delta,500,0.6832
19,Influence_delta,500,0.6834
20,Fisher_delta,500,0.6824
21,Newton,500,0.6801
22,Influence,500,0.6804
23,Fisher,500,0.6816
24,retrain,1000,0.6842
25,MUter,1000,0.6842
26,Newton_delta,1000,0.6818
27,Influence_delta,1000,0.682
28,Fisher_delta,1000,0.6826
29,Newton,1000,0.6771
30,Influence,1000,0.6771
31,Fisher,1000,0.6802
32,retrain,2000,0.6842
33,MUter,2000,0.6846
34,Newton_delta,2000,0.6812
35,Influence_delta,2000,0.6816
36,Fisher_delta,2000,0.6822
37,Newton,2000,0.6707
38,Influence,2000,0.6724
39,Fisher,2000,0.675
40,retrain,4000,0.684
41,MUter,4000,0.6841
42,Newton_delta,4000,0.6766
43,Influence_delta,4000,0.6759
44,Fisher_delta,4000,0.6765
45,Newton,4000,0.6597
46,Influence,4000,0.6617
47,Fisher,4000,0.6635
48,retrain,1,0.6765
49,MUter,1,0.676
50,Newton_delta,1,0.6761
51,Influence_delta,1,0.6762
52,Fisher_delta,1,0.6759
53,Newton,1,0.676
54,Influence,1,0.676
55,Fisher,1,0.6759
56,retrain,200,0.6665
57,MUter,200,0.671
58,Newton_delta,200,0.6694
59,Influence_delta,200,0.6698
60,Fisher_delta,200,0.6702
61,Newton,200,0.6692
62,Influence,200,0.6697
63,Fisher,200,0.6684
64,retrain,500,0.6733
65,MUter,500,0.6747
66,Newton_delta,500,0.6736
67,Influence_delta,500,0.6738
68,Fisher_delta,500,0.6739
69,Newton,500,0.6714
70,Influence,500,0.6715
71,Fisher,500,0.6717
72,retrain,1000,0.6793
73,MUter,1000,0.6793
74,Newton_delta,1000,0.6758
75,Influence_delta,1000,0.6758
76,Fisher_delta,1000,0.6758
77,Newton,1000,0.6708
78,Influence,1000,0.6713
79,Fisher,1000,0.6715
80,retrain,2000,0.6775
81,MUter,2000,0.6789
82,Newton_delta,2000,0.672
83,Influence_delta,2000,0.672
84,Fisher_delta,2000,0.6716
85,Newton,2000,0.6611
86,Influence,2000,0.6614
87,Fisher,2000,0.6651
88,retrain,4000,0.6803
89,MUter,4000,0.6816
90,Newton_delta,4000,0.6727
91,Influence_delta,4000,0.673
92,Fisher_delta,4000,0.673
93,Newton,4000,0.6552
94,Influence,4000,0.656
95,Fisher,4000,0.6595
96,retrain,1,0.6804
97,MUter,1,0.6804
98,Newton_delta,1,0.6804
99,Influence_delta,1,0.6804
100,Fisher_delta,1,0.6804
101,Newton,1,0.6804
102,Influence,1,0.6804
103,Fisher,1,0.6803
104,retrain,200,0.629
105,MUter,200,0.6274
106,Newton_delta,200,0.6267
107,Influence_delta,200,0.6268
108,Fisher_delta,200,0.6265
109,Newton,200,0.6269
110,Influence,200,0.6271
111,Fisher,200,0.6269
112,retrain,500,0.6821
113,MUter,500,0.683
114,Newton_delta,500,0.6823
115,Influence_delta,500,0.6828
116,Fisher_delta,500,0.6819
117,Newton,500,0.6798
118,Influence,500,0.6796
119,Fisher,500,0.6816
120,retrain,1000,0.6823
121,MUter,1000,0.6823
122,Newton_delta,1000,0.6813
123,Influence_delta,1000,0.681
124,Fisher_delta,1000,0.6814
125,Newton,1000,0.6774
126,Influence,1000,0.6773
127,Fisher,1000,0.6784
128,retrain,2000,0.6827
129,MUter,2000,0.6827
130,Newton_delta,2000,0.6803
131,Influence_delta,2000,0.68
132,Fisher_delta,2000,0.6805
133,Newton,2000,0.6727
134,Influence,2000,0.6736
135,Fisher,2000,0.6752
136,retrain,4000,0.6807
137,MUter,4000,0.681
138,Newton_delta,4000,0.6736
139,Influence_delta,4000,0.6739
140,Fisher_delta,4000,0.674
141,Newton,4000,0.6579
142,Influence,4000,0.6585
143,Fisher,4000,0.6572
