,method,index,value
0,retrain,2500,0.3416
1,MUter,2500,0.3414
2,Newton_delta,2500,0.3348
3,Influence_delta,2500,0.335
4,Fisher_delta,2500,0.3338
5,Newton,2500,0.3381
6,Influence,2500,0.3391
7,Fisher,2500,0.3377
8,retrain,5000,0.3525
9,MUter,5000,0.3515
10,Newton_delta,5000,0.3412
11,Influence_delta,5000,0.3432
12,Fisher_delta,5000,0.3384
13,Newton,5000,0.3467
14,Influence,5000,0.3485
15,Fisher,5000,0.3494
16,retrain,7500,0.3332
17,MUter,7500,0.3266
18,Newton_delta,7500,0.3123
19,Influence_delta,7500,0.3141
20,Fisher_delta,7500,0.3091
21,Newton,7500,0.3124
22,Influence,7500,0.3127
23,Fisher,7500,0.1802
24,retrain,10000,0.3511
25,MUter,10000,0.3516
26,Newton_delta,10000,0.32
27,Influence_delta,10000,0.3228
28,Fisher_delta,10000,0.3115
29,Newton,10000,0.3269
30,Influence,10000,0.3311
31,Fisher,10000,0.1996
32,retrain,2500,0.3445
33,MUter,2500,0.3434
34,Newton_delta,2500,0.3396
35,Influence_delta,2500,0.34
36,Fisher_delta,2500,0.338
37,Newton,2500,0.3418
38,Influence,2500,0.3414
39,Fisher,2500,0.3363
40,retrain,5000,0.3503
41,MUter,5000,0.3503
42,Newton_delta,5000,0.3375
43,Influence_delta,5000,0.3404
44,Fisher_delta,5000,0.3378
45,Newton,5000,0.3431
46,Influence,5000,0.3447
47,Fisher,5000,0.3484
48,retrain,7500,0.3313
49,MUter,7500,0.329
50,Newton_delta,7500,0.31
51,Influence_delta,7500,0.3115
52,Fisher_delta,7500,0.3057
53,Newton,7500,0.3092
54,Influence,7500,0.3111
55,Fisher,7500,0.168
56,retrain,10000,0.3504
57,MUter,10000,0.3502
58,Newton_delta,10000,0.3241
59,Influence_delta,10000,0.3254
60,Fisher_delta,10000,0.3191
61,Newton,10000,0.3254
62,Influence,10000,0.3293
63,Fisher,10000,0.177
64,retrain,2500,0.343
65,MUter,2500,0.3451
66,Newton_delta,2500,0.3342
67,Influence_delta,2500,0.336
68,Fisher_delta,2500,0.3352
69,Newton,2500,0.3402
70,Influence,2500,0.341
71,Fisher,2500,0.3333
72,retrain,5000,0.3508
73,MUter,5000,0.3513
74,Newton_delta,5000,0.3397
75,Influence_delta,5000,0.3417
76,Fisher_delta,5000,0.3376
77,Newton,5000,0.3435
78,Influence,5000,0.3447
79,Fisher,5000,0.3466
80,retrain,7500,0.3297
81,MUter,7500,0.3192
82,Newton_delta,7500,0.3066
83,Influence_delta,7500,0.309
84,Fisher_delta,7500,0.2981
85,Newton,7500,0.3038
86,Influence,7500,0.3075
87,Fisher,7500,0.146
88,retrain,10000,0.3486
89,MUter,10000,0.3515
90,Newton_delta,10000,0.3224
91,Influence_delta,10000,0.3259
92,Fisher_delta,10000,0.3152
93,Newton,10000,0.3249
94,Influence,10000,0.3283
95,Fisher,10000,0.1412
