,method,index,value
0,retrain,1,0.838
1,MUter,1,0.839
2,Newton_delta,1,0.838
3,Influence_delta,1,0.838
4,Fisher_delta,1,0.837
5,Newton,1,0.839
6,Influence,1,0.839
7,Fisher,1,0.837
8,retrain,20,0.829
9,MUter,20,0.833
10,Newton_delta,20,0.835
11,Influence_delta,20,0.835
12,Fisher_delta,20,0.829
13,Newton,20,0.833
14,Influence,20,0.833
15,Fisher,20,0.833
16,retrain,50,0.835
17,MUter,50,0.832
18,Newton_delta,50,0.83
19,Influence_delta,50,0.829
20,Fisher_delta,50,0.829
21,Newton,50,0.824
22,Influence,50,0.824
23,Fisher,50,0.823
24,retrain,100,0.835
25,MUter,100,0.831
26,Newton_delta,100,0.812
27,Influence_delta,100,0.814
28,Fisher_delta,100,0.822
29,Newton,100,0.822
30,Influence,100,0.822
31,Fisher,100,0.821
32,retrain,200,0.832
33,MUter,200,0.836
34,Newton_delta,200,0.804
35,Influence_delta,200,0.805
36,Fisher_delta,200,0.816
37,Newton,200,0.806
38,Influence,200,0.812
39,Fisher,200,0.824
40,retrain,400,0.84
41,MUter,400,0.843
42,Newton_delta,400,0.778
43,Influence_delta,400,0.78
44,Fisher_delta,400,0.802
45,Newton,400,0.767
46,Influence,400,0.776
47,Fisher,400,0.788
48,retrain,1,0.84
49,MUter,1,0.838
50,Newton_delta,1,0.839
51,Influence_delta,1,0.838
52,Fisher_delta,1,0.839
53,Newton,1,0.84
54,Influence,1,0.839
55,Fisher,1,0.839
56,retrain,20,0.831
57,MUter,20,0.833
58,Newton_delta,20,0.824
59,Influence_delta,20,0.824
60,Fisher_delta,20,0.828
61,Newton,20,0.83
62,Influence,20,0.827
63,Fisher,20,0.829
64,retrain,50,0.832
65,MUter,50,0.834
66,Newton_delta,50,0.82
67,Influence_delta,50,0.821
68,Fisher_delta,50,0.82
69,Newton,50,0.819
70,Influence,50,0.822
71,Fisher,50,0.818
72,retrain,100,0.833
73,MUter,100,0.836
74,Newton_delta,100,0.816
75,Influence_delta,100,0.816
76,Fisher_delta,100,0.819
77,Newton,100,0.821
78,Influence,100,0.822
79,Fisher,100,0.815
80,retrain,200,0.839
81,MUter,200,0.838
82,Newton_delta,200,0.796
83,Influence_delta,200,0.801
84,Fisher_delta,200,0.808
85,Newton,200,0.794
86,Influence,200,0.797
87,Fisher,200,0.81
88,retrain,400,0.839
89,MUter,400,0.84
90,Newton_delta,400,0.748
91,Influence_delta,400,0.759
92,Fisher_delta,400,0.779
93,Newton,400,0.75
94,Influence,400,0.762
95,Fisher,400,0.768
96,retrain,1,0.825
97,MUter,1,0.825
98,Newton_delta,1,0.826
99,Influence_delta,1,0.826
100,Fisher_delta,1,0.827
101,Newton,1,0.825
102,Influence,1,0.825
103,Fisher,1,0.827
104,retrain,20,0.826
105,MUter,20,0.827
106,Newton_delta,20,0.819
107,Influence_delta,20,0.819
108,Fisher_delta,20,0.818
109,Newton,20,0.822
110,Influence,20,0.823
111,Fisher,20,0.819
112,retrain,50,0.848
113,MUter,50,0.85
114,Newton_delta,50,0.834
115,Influence_delta,50,0.835
116,Fisher_delta,50,0.833
117,Newton,50,0.838
118,Influence,50,0.839
119,Fisher,50,0.842
120,retrain,100,0.838
121,MUter,100,0.835
122,Newton_delta,100,0.818
123,Influence_delta,100,0.82
124,Fisher_delta,100,0.822
125,Newton,100,0.822
126,Influence,100,0.824
127,Fisher,100,0.827
128,retrain,200,0.833
129,MUter,200,0.832
130,Newton_delta,200,0.796
131,Influence_delta,200,0.795
132,Fisher_delta,200,0.807
133,Newton,200,0.806
134,Influence,200,0.808
135,Fisher,200,0.819
136,retrain,400,0.83
137,MUter,400,0.831
138,Newton_delta,400,0.748
139,Influence_delta,400,0.756
140,Fisher_delta,400,0.784
141,Newton,400,0.749
142,Influence,400,0.767
143,Fisher,400,0.775
