,method,index,value
0,retrain,1,0.634
1,MUter,1,0.638
2,Newton_delta,1,0.632
3,Influence_delta,1,0.632
4,Fisher_delta,1,0.634
5,Newton,1,0.635
6,Influence,1,0.638
7,Fisher,1,0.633
8,retrain,20,0.63
9,MUter,20,0.62
10,Newton_delta,20,0.623
11,Influence_delta,20,0.624
12,Fisher_delta,20,0.621
13,Newton,20,0.624
14,Influence,20,0.62
15,Fisher,20,0.624
16,retrain,50,0.629
17,MUter,50,0.633
18,Newton_delta,50,0.617
19,Influence_delta,50,0.617
20,Fisher_delta,50,0.616
21,Newton,50,0.628
22,Influence,50,0.621
23,Fisher,50,0.624
24,retrain,100,0.624
25,MUter,100,0.627
26,Newton_delta,100,0.613
27,Influence_delta,100,0.609
28,Fisher_delta,100,0.624
29,Newton,100,0.624
30,Influence,100,0.618
31,Fisher,100,0.619
32,retrain,200,0.633
33,MUter,200,0.638
34,Newton_delta,200,0.607
35,Influence_delta,200,0.608
36,Fisher_delta,200,0.607
37,Newton,200,0.618
38,Influence,200,0.614
39,Fisher,200,0.59
40,retrain,400,0.651
41,MUter,400,0.652
42,Newton_delta,400,0.547
43,Influence_delta,400,0.558
44,Fisher_delta,400,0.554
45,Newton,400,0.567
46,Influence,400,0.582
47,Fisher,400,0.523
48,retrain,1,0.628
49,MUter,1,0.633
50,Newton_delta,1,0.626
51,Influence_delta,1,0.627
52,Fisher_delta,1,0.625
53,Newton,1,0.63
54,Influence,1,0.625
55,Fisher,1,0.623
56,retrain,20,0.618
57,MUter,20,0.616
58,Newton_delta,20,0.609
59,Influence_delta,20,0.613
60,Fisher_delta,20,0.612
61,Newton,20,0.599
62,Influence,20,0.611
63,Fisher,20,0.602
64,retrain,50,0.615
65,MUter,50,0.615
66,Newton_delta,50,0.614
67,Influence_delta,50,0.614
68,Fisher_delta,50,0.615
69,Newton,50,0.617
70,Influence,50,0.619
71,Fisher,50,0.607
72,retrain,100,0.638
73,MUter,100,0.636
74,Newton_delta,100,0.614
75,Influence_delta,100,0.616
76,Fisher_delta,100,0.608
77,Newton,100,0.626
78,Influence,100,0.623
79,Fisher,100,0.621
80,retrain,200,0.635
81,MUter,200,0.629
82,Newton_delta,200,0.59
83,Influence_delta,200,0.594
84,Fisher_delta,200,0.594
85,Newton,200,0.599
86,Influence,200,0.601
87,Fisher,200,0.581
88,retrain,400,0.641
89,MUter,400,0.64
90,Newton_delta,400,0.52
91,Influence_delta,400,0.544
92,Fisher_delta,400,0.516
93,Newton,400,0.542
94,Influence,400,0.554
95,Fisher,400,0.508
96,retrain,1,0.633
97,MUter,1,0.636
98,Newton_delta,1,0.627
99,Influence_delta,1,0.631
100,Fisher_delta,1,0.636
101,Newton,1,0.633
102,Influence,1,0.634
103,Fisher,1,0.634
104,retrain,20,0.621
105,MUter,20,0.621
106,Newton_delta,20,0.615
107,Influence_delta,20,0.619
108,Fisher_delta,20,0.618
109,Newton,20,0.608
110,Influence,20,0.613
111,Fisher,20,0.614
112,retrain,50,0.641
113,MUter,50,0.64
114,Newton_delta,50,0.63
115,Influence_delta,50,0.631
116,Fisher_delta,50,0.631
117,Newton,50,0.635
118,Influence,50,0.638
119,Fisher,50,0.626
120,retrain,100,0.634
121,MUter,100,0.635
122,Newton_delta,100,0.62
123,Influence_delta,100,0.624
124,Fisher_delta,100,0.611
125,Newton,100,0.629
126,Influence,100,0.631
127,Fisher,100,0.619
128,retrain,200,0.638
129,MUter,200,0.64
130,Newton_delta,200,0.589
131,Influence_delta,200,0.593
132,Fisher_delta,200,0.585
133,Newton,200,0.601
134,Influence,200,0.597
135,Fisher,200,0.591
136,retrain,400,0.626
137,MUter,400,0.625
138,Newton_delta,400,0.528
139,Influence_delta,400,0.539
140,Fisher_delta,400,0.539
141,Newton,400,0.543
142,Influence,400,0.553
143,Fisher,400,0.523
