,method,index,value
0,MUter,220,0.2832234
1,Newton_delta,220,0.66754425
2,Influence_delta,220,0.58560133
3,Fisher_delta,220,0.7817097
4,Newton,220,0.46267375
5,Influence,220,0.41127342
6,Fisher,220,0.671525
7,MUter,440,0.20478782
8,Newton_delta,440,1.0454657
9,Influence_delta,440,0.96251917
10,Fisher_delta,440,1.3048798
11,Newton,440,0.77472055
12,Influence,440,0.6844127
13,Fisher,440,1.3908263
14,MUter,660,0.17396015
15,Newton_delta,660,1.3391924
16,Influence_delta,660,1.2324775
17,Fisher_delta,660,1.7164792
18,Newton,660,1.0317533
19,Influence,660,0.935323
20,Fisher,660,1.7989795
21,MUter,880,0.13247468
22,Newton_delta,880,1.6579025
23,Influence_delta,880,1.5144528
24,Fisher_delta,880,2.5264037
25,Newton,880,1.515798
26,Influence,880,1.3829925
27,Fisher,880,2.1700542
28,MUter,220,0.4277805
29,Newton_delta,220,0.7582322
30,Influence_delta,220,0.66824275
31,Fisher_delta,220,0.79481345
32,Newton,220,0.5061319
33,Influence,220,0.44395784
34,Fisher,220,0.8923387
35,MUter,440,0.16299337
36,Newton_delta,440,1.0202799
37,Influence_delta,440,0.92119235
38,Fisher_delta,440,1.3817563
39,Newton,440,0.97428894
40,Influence,440,0.86599666
41,Fisher,440,1.308581
42,MUter,660,0.1873082
43,Newton_delta,660,1.3965927
44,Influence_delta,660,1.312175
45,Fisher_delta,660,1.9568695
46,Newton,660,1.0722741
47,Influence,660,0.9724376
48,Fisher,660,1.853908
49,MUter,880,0.14565143
50,Newton_delta,880,1.8721228
51,Influence_delta,880,1.7464852
52,Fisher_delta,880,2.4123135
53,Newton,880,1.5860549
54,Influence,880,1.4069197
55,Fisher,880,2.448882
56,MUter,220,0.3880559
57,Newton_delta,220,0.73165184
58,Influence_delta,220,0.6417514
59,Fisher_delta,220,0.8081744
60,Newton,220,0.55033845
61,Influence,220,0.4597976
62,Fisher,220,0.72736263
63,MUter,440,0.20347269
64,Newton_delta,440,1.0610256
65,Influence_delta,440,0.9679442
66,Fisher_delta,440,1.3023926
67,Newton,440,0.8430533
68,Influence,440,0.7508817
69,Fisher,440,1.1083761
70,MUter,660,0.17778677
71,Newton_delta,660,1.5949653
72,Influence_delta,660,1.4888611
73,Fisher_delta,660,1.897933
74,Newton,660,1.1179845
75,Influence,660,1.0047141
76,Fisher,660,1.5640538
77,MUter,880,0.14045195
78,Newton_delta,880,2.199304
79,Influence_delta,880,2.0339844
80,Fisher_delta,880,2.6110055
81,Newton,880,1.44535
82,Influence,880,1.3021576
83,Fisher,880,2.1047957
