,method,index,value
0,retrain,1,0.523
1,MUter,1,0.523
2,Newton_delta,1,0.52
3,Influence_delta,1,0.52
4,Fisher_delta,1,0.52
5,Newton,1,0.522
6,Influence,1,0.52
7,Fisher,1,0.519
8,retrain,20,0.508
9,MUter,20,0.517
10,Newton_delta,20,0.514
11,Influence_delta,20,0.514
12,Fisher_delta,20,0.514
13,Newton,20,0.516
14,Influence,20,0.523
15,Fisher,20,0.517
16,retrain,50,0.512
17,MUter,50,0.514
18,Newton_delta,50,0.504
19,Influence_delta,50,0.502
20,Fisher_delta,50,0.498
21,Newton,50,0.511
22,Influence,50,0.51
23,Fisher,50,0.503
24,retrain,100,0.506
25,MUter,100,0.506
26,Newton_delta,100,0.492
27,Influence_delta,100,0.492
28,Fisher_delta,100,0.499
29,Newton,100,0.505
30,Influence,100,0.5
31,Fisher,100,0.501
32,retrain,200,0.523
33,MUter,200,0.517
34,Newton_delta,200,0.469
35,Influence_delta,200,0.475
36,Fisher_delta,200,0.476
37,Newton,200,0.499
38,Influence,200,0.507
39,Fisher,200,0.488
40,retrain,400,0.541
41,MUter,400,0.53
42,Newton_delta,400,0.425
43,Influence_delta,400,0.438
44,Fisher_delta,400,0.427
45,Newton,400,0.43
46,Influence,400,0.451
47,Fisher,400,0.413
48,retrain,1,0.535
49,MUter,1,0.527
50,Newton_delta,1,0.524
51,Influence_delta,1,0.529
52,Fisher_delta,1,0.524
53,Newton,1,0.527
54,Influence,1,0.526
55,Fisher,1,0.523
56,retrain,20,0.511
57,MUter,20,0.515
58,Newton_delta,20,0.506
59,Influence_delta,20,0.505
60,Fisher_delta,20,0.508
61,Newton,20,0.509
62,Influence,20,0.509
63,Fisher,20,0.505
64,retrain,50,0.509
65,MUter,50,0.514
66,Newton_delta,50,0.508
67,Influence_delta,50,0.513
68,Fisher_delta,50,0.512
69,Newton,50,0.511
70,Influence,50,0.511
71,Fisher,50,0.513
72,retrain,100,0.515
73,MUter,100,0.513
74,Newton_delta,100,0.479
75,Influence_delta,100,0.484
76,Fisher_delta,100,0.483
77,Newton,100,0.497
78,Influence,100,0.499
79,Fisher,100,0.497
80,retrain,200,0.521
81,MUter,200,0.523
82,Newton_delta,200,0.458
83,Influence_delta,200,0.467
84,Fisher_delta,200,0.462
85,Newton,200,0.485
86,Influence,200,0.484
87,Fisher,200,0.468
88,retrain,400,0.513
89,MUter,400,0.52
90,Newton_delta,400,0.38
91,Influence_delta,400,0.395
92,Fisher_delta,400,0.367
93,Newton,400,0.397
94,Influence,400,0.42
95,Fisher,400,0.4
96,retrain,1,0.511
97,MUter,1,0.515
98,Newton_delta,1,0.515
99,Influence_delta,1,0.515
100,Fisher_delta,1,0.515
101,Newton,1,0.517
102,Influence,1,0.516
103,Fisher,1,0.516
104,retrain,20,0.517
105,MUter,20,0.515
106,Newton_delta,20,0.512
107,Influence_delta,20,0.51
108,Fisher_delta,20,0.509
109,Newton,20,0.516
110,Influence,20,0.511
111,Fisher,20,0.504
112,retrain,50,0.509
113,MUter,50,0.509
114,Newton_delta,50,0.499
115,Influence_delta,50,0.499
116,Fisher_delta,50,0.5
117,Newton,50,0.501
118,Influence,50,0.503
119,Fisher,50,0.491
120,retrain,100,0.522
121,MUter,100,0.529
122,Newton_delta,100,0.494
123,Influence_delta,100,0.494
124,Fisher_delta,100,0.483
125,Newton,100,0.504
126,Influence,100,0.51
127,Fisher,100,0.491
128,retrain,200,0.52
129,MUter,200,0.519
130,Newton_delta,200,0.458
131,Influence_delta,200,0.463
132,Fisher_delta,200,0.464
133,Newton,200,0.473
134,Influence,200,0.477
135,Fisher,200,0.456
136,retrain,400,0.522
137,MUter,400,0.527
138,Newton_delta,400,0.378
139,Influence_delta,400,0.399
140,Fisher_delta,400,0.393
141,Newton,400,0.418
142,Influence,400,0.442
143,Fisher,400,0.395
