,method,index,value
0,retrain,220,0.818
1,MUter,220,0.804
2,Newton_delta,220,0.784
3,Influence_delta,220,0.792
4,Fisher_delta,220,0.809
5,Newton,220,0.786
6,Influence,220,0.792
7,Fisher,220,0.798
8,retrain,440,0.824
9,MUter,440,0.816
10,Newton_delta,440,0.745
11,Influence_delta,440,0.754
12,Fisher_delta,440,0.763
13,Newton,440,0.706
14,Influence,440,0.717
15,Fisher,440,0.756
16,retrain,660,0.804
17,MUter,660,0.798
18,Newton_delta,660,0.639
19,Influence_delta,660,0.655
20,Fisher_delta,660,0.666
21,Newton,660,0.609
22,Influence,660,0.621
23,Fisher,660,0.658
24,retrain,880,0.8
25,MUter,880,0.802
26,Newton_delta,880,0.546
27,Influence_delta,880,0.559
28,Fisher_delta,880,0.437
29,Newton,880,0.515
30,Influence,880,0.549
31,Fisher,880,0.464
32,retrain,220,0.824
33,MUter,220,0.807
34,Newton_delta,220,0.774
35,Influence_delta,220,0.784
36,Fisher_delta,220,0.791
37,Newton,220,0.762
38,Influence,220,0.771
39,Fisher,220,0.777
40,retrain,440,0.812
41,MUter,440,0.83
42,Newton_delta,440,0.704
43,Influence_delta,440,0.712
44,Fisher_delta,440,0.742
45,Newton,440,0.68
46,Influence,440,0.697
47,Fisher,440,0.739
48,retrain,660,0.808
49,MUter,660,0.76
50,Newton_delta,660,0.622
51,Influence_delta,660,0.633
52,Fisher_delta,660,0.653
53,Newton,660,0.618
54,Influence,660,0.632
55,Fisher,660,0.644
56,retrain,880,0.82
57,MUter,880,0.828
58,Newton_delta,880,0.563
59,Influence_delta,880,0.59
60,Fisher_delta,880,0.521
61,Newton,880,0.561
62,Influence,880,0.576
63,Fisher,880,0.43
64,retrain,220,0.808
65,MUter,220,0.809
66,Newton_delta,220,0.775
67,Influence_delta,220,0.781
68,Fisher_delta,220,0.78
69,Newton,220,0.775
70,Influence,220,0.781
71,Fisher,220,0.79
72,retrain,440,0.817
73,MUter,440,0.825
74,Newton_delta,440,0.685
75,Influence_delta,440,0.703
76,Fisher_delta,440,0.731
77,Newton,440,0.681
78,Influence,440,0.696
79,Fisher,440,0.74
80,retrain,660,0.799
81,MUter,660,0.801
82,Newton_delta,660,0.612
83,Influence_delta,660,0.62
84,Fisher_delta,660,0.598
85,Newton,660,0.595
86,Influence,660,0.612
87,Fisher,660,0.561
88,retrain,880,0.804
89,MUter,880,0.808
90,Newton_delta,880,0.544
91,Influence_delta,880,0.56
92,Fisher_delta,880,0.418
93,Newton,880,0.534
94,Influence,880,0.554
95,Fisher,880,0.436
