,method,index,value
0,MUter,220,0.35949954
1,Newton_delta,220,0.7412834
2,Influence_delta,220,0.6762909
3,Fisher_delta,220,0.73545897
4,Newton,220,0.4595189
5,Influence,220,0.40749112
6,Fisher,220,0.6229928
7,MUter,440,0.20179075
8,Newton_delta,440,1.1870776
9,Influence_delta,440,1.0912819
10,Fisher_delta,440,1.3615984
11,Newton,440,0.82878774
12,Influence,440,0.73345405
13,Fisher,440,1.2590353
14,MUter,660,0.22715463
15,Newton_delta,660,1.5441232
16,Influence_delta,660,1.4363703
17,Fisher_delta,660,1.7035468
18,Newton,660,1.091172
19,Influence,660,0.98992217
20,Fisher,660,1.7244107
21,MUter,880,0.13276419
22,Newton_delta,880,2.0834734
23,Influence_delta,880,1.9179839
24,Fisher_delta,880,2.362708
25,Newton,880,1.622713
26,Influence,880,1.4522587
27,Fisher,880,2.0529907
28,MUter,220,0.17371456
29,Newton_delta,220,0.8683403
30,Influence_delta,220,0.76561654
31,Fisher_delta,220,0.8974621
32,Newton,220,0.583619
33,Influence,220,0.5057876
34,Fisher,220,0.7364945
35,MUter,440,0.2395034
36,Newton_delta,440,1.4422477
37,Influence_delta,440,1.2209451
38,Fisher_delta,440,1.4367627
39,Newton,440,0.9514248
40,Influence,440,0.8400019
41,Fisher,440,1.1909477
42,MUter,660,0.32946417
43,Newton_delta,660,1.7951473
44,Influence_delta,660,1.6687803
45,Fisher_delta,660,1.9499228
46,Newton,660,1.230646
47,Influence,660,1.0953697
48,Fisher,660,1.478788
49,MUter,880,0.13627799
50,Newton_delta,880,2.2016745
51,Influence_delta,880,2.184387
52,Fisher_delta,880,2.3695076
53,Newton,880,1.4299983
54,Influence,880,1.3091153
55,Fisher,880,2.172625
56,MUter,220,0.1658677
57,Newton_delta,220,0.869303
58,Influence_delta,220,0.7666804
59,Fisher_delta,220,0.8321346
60,Newton,220,0.53822875
61,Influence,220,0.45546728
62,Fisher,220,0.7106728
63,MUter,440,0.17240791
64,Newton_delta,440,1.2707015
65,Influence_delta,440,1.2721635
66,Fisher_delta,440,1.2768888
67,Newton,440,0.86814696
68,Influence,440,0.7569338
69,Fisher,440,1.0941178
70,MUter,660,0.19134392
71,Newton_delta,660,1.8351862
72,Influence_delta,660,1.7349187
73,Fisher_delta,660,2.0635931
74,Newton,660,1.1095761
75,Influence,660,1.0262203
76,Fisher,660,1.4783914
77,MUter,880,0.12269544
78,Newton_delta,880,2.3159997
79,Influence_delta,880,2.1305978
80,Fisher_delta,880,2.9702291
81,Newton,880,1.5374722
82,Influence,880,1.3734938
83,Fisher,880,2.039175
